rok;ms;dz;godz;fco2_MQ;fco2_HQ;fco2_raw;glwody;T50cm;T2m;Kd;Ku;Ld;Lu;ppp;v;vdir;Tgrunt;vwc;PARd;PARu
2013;1;4;5.5;0.0;;0.0;5.5;3.3;3.5;0.3;0.0;312.6;323.3;996.1;6.0;284.7;0.6;0.79;0.0;0.0
2013;1;4;6.5;0.1;;0.1;5.5;3.2;3.3;0.3;0.0;313.4;323.3;996.4;6.0;283.1;0.6;0.79;0.0;0.0
2013;1;4;7.5;0.05;;0.05;5.4;3.0;3.2;1.0;0.0;314.1;323.2;996.9;6.0;283.8;0.6;0.79;1.7;0.0
2013;1;4;8.5;-0.13;;-0.13;5.4;3.0;3.2;12.6;0.3;314.9;323.2;997.7;6.9;285.1;0.6;0.79;25.1;1.1
2013;1;4;9.5;0.02;;0.02;5.1;3.2;3.3;36.7;2.7;315.7;323.2;998.4;6.2;285.4;0.6;0.79;75.4;4.1
2013;1;4;10.5;-0.04;;-0.04;5.2;3.5;3.6;73.7;5.9;316.5;323.2;998.7;5.7;282.7;0.6;0.79;150.6;8.6
2013;1;4;11.5;-0.03;;-0.03;5.4;3.4;3.5;54.9;4.2;317.2;323.1;999.1;5.5;286.1;0.6;0.79;115.2;6.3
2013;1;4;12.5;-0.0;;-0.0;5.8;3.3;3.4;54.4;4.2;318.0;323.1;999.1;5.5;281.5;0.6;0.79;114.5;6.2
2013;1;4;13.5;0.07;;0.07;5.6;3.2;3.3;44.8;3.4;318.8;323.1;999.1;4.8;274.9;0.6;0.79;93.5;4.9
2013;1;4;14.5;0.0;;0.0;5.5;3.0;3.2;27.5;2.1;319.6;323.0;999.3;5.0;271.2;0.6;0.79;59.1;2.9
2013;1;4;15.5;0.04;;0.04;5.6;2.5;2.9;3.2;0.6;320.4;323.0;999.4;3.9;265.4;0.7;0.789;10.2;0.1
2013;1;4;16.5;0.27;;0.27;5.5;2.5;2.8;0.0;0.1;312.2;322.1;999.4;3.2;261.0;0.6;0.789;0.0;0.0
2013;1;4;17.5;0.11;;0.11;5.8;2.5;2.8;0.0;0.0;319.6;322.4;999.2;3.8;271.5;0.7;0.789;0.0;0.0
2013;1;4;18.5;0.15;;0.15;5.9;2.4;2.7;0.0;0.0;313.2;322.0;998.8;4.2;270.5;0.6;0.789;0.0;0.0
2013;1;4;19.5;0.28;;0.28;5.8;2.3;2.5;0.0;0.0;314.8;321.9;998.6;4.0;276.4;0.6;0.789;0.0;0.0
2013;1;4;20.5;0.14;;0.14;5.7;2.3;2.5;0.0;0.0;320.7;322.5;998.5;4.3;283.3;0.7;0.789;0.0;0.0
2013;1;4;21.5;0.19;;0.19;5.8;2.2;2.4;0.0;0.0;319.3;322.0;998.2;3.8;288.1;0.7;0.789;0.0;0.0
2013;1;4;22.5;0.19;;0.19;5.9;2.1;2.3;0.0;0.0;315.8;321.7;997.7;4.3;293.5;0.7;0.789;0.0;0.0
2013;1;4;23.5;0.11;;0.11;5.5;2.1;2.3;0.0;0.0;314.7;321.7;997.6;4.8;297.9;0.7;0.789;0.0;0.0
2013;1;5;0.5;0.19;;0.19;5.7;2.0;2.1;0.0;0.0;311.6;321.1;997.6;4.0;300.4;0.7;0.789;0.0;0.0
2013;1;5;1.5;;;0.3;5.5;1.8;1.9;0.0;0.0;314.5;320.5;997.9;3.8;314.7;0.7;0.789;0.0;0.0
2013;1;5;2.5;0.75;;0.75;5.3;1.0;1.2;0.0;0.9;300.4;317.5;997.9;3.3;307.8;0.6;0.789;0.0;0.0
2013;1;5;3.5;0.08;;0.08;5.5;1.0;1.2;0.0;0.8;322.1;337.1;997.9;3.5;301.8;0.6;0.789;0.0;0.0
2013;1;5;4.5;-0.51;;-0.51;5.6;0.8;0.9;0.0;0.5;309.7;317.9;997.7;3.7;295.8;0.6;0.789;0.0;0.0
2013;1;5;5.5;;;-3.33;5.5;0.2;0.3;0.0;0.1;311.4;316.7;997.8;4.6;310.5;0.6;0.789;0.0;0.0
2013;1;5;6.5;0.09;;0.09;5.3;-0.1;-0.1;0.0;0.1;311.0;315.9;998.3;3.7;314.7;0.6;0.789;0.0;0.0
2013;1;5;7.5;;;2.62;5.1;-0.2;-0.2;0.6;0.4;312.0;315.9;998.6;3.4;315.7;0.6;0.789;1.8;0.0
2013;1;5;8.5;;;1.5;5.2;-0.1;-0.3;16.0;1.4;313.5;315.9;999.1;3.8;320.0;0.6;0.789;33.0;1.6
2013;1;5;9.5;0.87;;0.87;4.8;0.2;0.1;35.9;2.8;313.8;317.0;999.8;4.5;323.1;0.6;0.788;71.5;3.7
2013;1;5;10.5;;;5.25;5.0;0.5;0.4;36.0;2.3;336.0;329.7;1000.6;4.9;333.9;0.6;0.788;74.8;3.8
2013;1;5;11.5;-0.33;;-0.33;4.6;0.6;0.6;36.4;2.3;273.5;300.0;1001.4;5.1;331.0;0.6;0.788;76.9;3.8
2013;1;5;12.5;-1.72;;-1.72;4.7;0.3;0.2;31.0;2.2;312.7;319.4;1002.1;4.6;330.3;0.6;0.788;65.8;3.2
2013;1;5;13.5;-0.37;;-0.37;4.6;0.4;0.3;29.1;2.0;308.6;316.7;1002.8;4.9;334.6;0.7;0.788;60.5;2.9
2013;1;5;14.5;-0.09;;-0.09;4.7;0.3;0.3;10.6;0.5;308.2;316.3;1003.5;4.7;338.3;0.6;0.788;22.2;0.8
2013;1;5;15.5;;;1.52;4.7;0.0;-0.0;0.6;0.0;309.7;315.9;1004.5;4.6;334.8;0.6;0.788;2.4;0.0
2013;1;5;16.5;;;-4.65;4.9;-0.1;-0.2;0.0;0.0;309.0;315.5;1005.0;4.3;335.6;0.6;0.788;0.0;0.0
2013;1;5;17.5;;;-0.03;4.8;-0.1;-0.1;0.0;0.0;307.7;315.6;1005.7;4.5;342.5;0.6;0.788;0.0;0.0
2013;1;5;18.5;-0.1;;-0.1;4.8;-0.2;-0.1;0.0;0.0;307.5;315.4;1006.3;4.7;344.4;0.6;0.787;0.0;0.0
2013;1;5;19.5;-0.18;;-0.18;5.0;-0.4;-0.4;0.0;0.2;305.3;315.0;1006.7;4.2;353.2;0.6;0.787;0.0;0.0
2013;1;5;20.5;0.23;;0.23;4.9;-0.8;-0.8;0.0;0.3;303.1;314.4;1007.1;4.1;340.8;0.6;0.786;0.0;0.0
2013;1;5;21.5;-0.17;;-0.17;4.8;-1.2;-1.2;0.0;0.3;294.0;313.3;1007.4;4.3;327.0;0.6;0.786;0.0;0.0
2013;1;5;22.5;-0.07;;-0.07;5.0;-1.5;-1.5;0.0;0.6;285.9;312.4;1007.5;3.1;336.5;0.6;0.785;0.0;0.0
2013;1;5;23.5;-0.04;;-0.04;5.2;-1.8;-1.8;0.0;0.4;290.0;312.1;1007.5;3.2;320.9;0.6;0.784;0.0;0.0
2013;1;6;0.5;;;-0.06;5.5;-2.1;-2.2;0.0;0.5;284.7;311.1;1007.5;3.3;326.5;0.6;0.784;0.0;0.0
